name,address,category,phone,opening_hours,review_score,materials,is_key_store,nearest_station
미림아트,서울특별시 종로구 인사동길 11-1,전통 미술/동양화 전문,02-730-8025,월~토 10:00~19:00,4.5,유화;수채화;아크릴,True,안국역
호미화방,서울특별시 마포구 홍익로3길 20,대형 종합/디자인 특화,02-336-8187,매일 10:00~20:00,4.8,유화;수채화;미술용품,True,홍대입구역
미림화방,서울특별시 용산구 한강대로 166,드로잉/스케치 특화,02-790-0902,월~금 10:00~19:00,4.2,드로잉;스케치,True,신용산역
나라아트화방,서울특별시 노원구 공릉로51길 14-2,학용/일반 문구 종합,02-979-3733,월~토 10:00~19:00,3.9,일반문구;용품,True,석계역
홍익화방,경기도 안양시 동안구 경수대로 699,드로잉/스케치 특화,031-382-7117,월~토 09:00~20:00,4.3,드로잉;스케치;펜,False,""
알파문구 본점,서울특별시 중구 퇴계로 179,대형 종합/디자인 특화,02-752-0096,일요일 10:00~18:30; 월~금 09:00~19:00; 토 10:00~18:30,4.1,제도용품;디자인;사무용품,False,회현역
남대문화방,서울특별시 중구 남대문로 84-1,전통 미술/동양화 전문,02-753-7175,월~금 09:00~20:00; 토 10:00~18:30; 일요일 휴무,4.0,서예;동양화;표구,False,회현역
한가람문구,서울특별시 서초구 남부순환로 2406,학용/일반 문구 종합,02-535-6238,매일 10:00~21:00,4.6,일반문구;학용품;종이,False,고속터미널역
